"","zipcode","SqMtrs","SqKm","PopulationBelowPovertyLevel","MedianHouseholdIncome","Unemployment","MedianRent","population","assault","burglary","homicide","rape","robbery","theft"
"1",78617,179810277,179.810277,18,43957,15,1041,19553,14,48,0,10,12,190
"2",78701,4218139,4.218139,20,68152,9,1590,5642,84,83,1,34,58,1776
"3",78702,12944540,12.94454,33,34734,11,766,21032,120,374,2,22,75,1603
"4",78703,14436159,14.436159,10,92606,4,1183,19873,9,76,0,3,7,565
"5",78704,22503945,22.503945,21,50248,7,940,41709,96,318,2,22,34,2243
"6",78705,5686651,5.686651,66,11917,14,1088,30532,31,133,0,32,18,924
"7",78717,33415021,33.415021,3,93305,5,1018,23514,10,56,0,1,0,190
"8",78721,9588238,9.588238,32,32131,16,870,11178,67,146,0,9,23,394
"9",78722,3919536,3.919536,19,44917,8,930,5973,12,57,0,3,10,265
"10",78723,17979293,17.979293,29,41869,10,817,30999,149,330,4,42,51,1507
"11",78724,63858033,63.858033,38,35711,8,962,21677,48,127,0,18,17,327
"12",78726,28204228,28.204228,9,66096,4,1050,12482,6,16,0,4,2,176
"13",78727,22190828,22.190828,11,65687,6,1050,28461,22,78,3,9,5,415
"14",78728,21004795,21.004795,14,47405,6,901,20939,0,2,0,0,0,6
"15",78729,23786144,23.786144,8,57358,7,1008,28228,22,78,0,4,8,357
"16",78730,37840281,37.840281,4,119573,3,1106,8312,3,8,0,2,0,38
"17",78731,22412156,22.412156,9,78265,4,1016,24716,12,83,0,7,4,421
"18",78732,34465142,34.465142,3,127726,5,1688,14307,0,0,0,0,0,3
"19",78735,53215463,53.215463,6,74571,4,1122,16882,11,50,0,2,2,215
"20",78739,29628564,29.628564,1,126525,4,2000,16911,1,13,0,1,0,118
"21",78741,19660250,19.66025,40,30183,9,835,48246,225,598,1,54,130,2386
"22",78742,14852580,14.85258,37,34076,11,639,901,4,11,0,2,0,29
"23",78744,55439912,55.439912,26,41056,9,946,43452,135,407,4,35,51,1563
"24",78745,34600328,34.600328,16,49243,7,990,54917,120,435,1,34,37,1950
"25",78746,58326014,58.326014,5,125327,4,1221,26939,6,36,0,2,5,741
"26",78748,32834705,32.834705,9,65889,6,1095,40290,48,203,2,13,14,1270
"27",78749,26078902,26.078902,6,80956,4,1150,34391,26,86,2,6,9,689
"28",78750,34718029,34.718029,7,75958,6,1012,27119,16,72,2,4,7,308
"29",78751,6211942,6.211942,26,38624,9,865,14340,22,100,0,8,11,785
"30",78752,8657144,8.657144,32,33271,9,752,17170,101,162,0,23,49,986
"31",78753,28417686,28.417686,26,39593,9,826,52384,184,440,4,58,111,3138
"32",78754,34419093,34.419093,11,53274,9,969,13570,21,94,0,1,2,339
"33",78756,4329297,4.329297,9,59685,4,888,8060,8,76,0,1,3,267
"34",78757,12732626,12.732626,16,55156,6,895,22718,21,189,2,13,15,858
"35",78758,24052435,24.052435,24,41792,10,898,45105,155,412,0,36,79,2144
"36",78759,36065378,36.065378,7,65672,7,962,39850,31,156,1,9,15,1345
